"Date","Price","Open","High","Low","Vol.","Change %"
"07/26/2021","28,300.0","28,330.0","28,480.0","27,730.0","646.17K","0.11%"
"07/23/2021","28,270.0","28,000.0","28,270.0","28,000.0","735.55K","0.60%"
"07/22/2021","28,100.0","28,100.0","28,100.0","27,730.0","1.27M","1.01%"
"07/21/2021","27,820.0","27,900.0","28,180.0","27,820.0","226.02K","2.28%"
"07/19/2021","27,200.0","27,920.0","27,920.0","27,200.0","80.39K","-2.82%"
"07/16/2021","27,990.0","28,100.0","28,150.0","27,870.0","92.62K","-0.04%"
"07/15/2021","28,000.0","28,200.0","28,280.0","27,750.0","123.31K","-0.36%"
"07/14/2021","28,100.0","28,200.0","28,200.0","27,730.0","71.80K","0.11%"
"07/13/2021","28,070.0","28,390.0","28,390.0","27,860.0","61.07K","-0.39%"
"07/12/2021","28,180.0","28,100.0","28,450.0","27,650.0","286.25K","0.28%"
"07/09/2021","28,100.0","28,000.0","28,280.0","27,710.0","275.82K","1.77%"
"07/08/2021","27,610.0","27,500.0","27,990.0","27,500.0","192.88K","0.04%"
"07/07/2021","27,600.0","27,000.0","27,840.0","26,760.0","73.51K","2.18%"
"07/06/2021","27,010.0","27,500.0","27,710.0","27,000.0","69.03K","-1.78%"
"07/02/2021","27,500.0","26,050.0","27,500.0","25,700.0","163.66K","5.44%"
"07/01/2021","26,080.0","26,800.0","26,800.0","26,070.0","186.55K","-1.21%"
"06/30/2021","26,400.0","26,670.0","26,910.0","26,300.0","275.90K","0.15%"
"06/29/2021","26,360.0","27,000.0","27,170.0","26,360.0","85.26K","-2.55%"
"06/28/2021","27,050.0","27,560.0","27,560.0","26,950.0","118.71K","-2.28%"
"06/25/2021","27,680.0","27,740.0","27,740.0","27,200.0","183.96K","1.02%"
"06/24/2021","27,400.0","27,000.0","27,650.0","27,000.0","77.79K","1.90%"
"06/23/2021","26,890.0","27,200.0","27,290.0","26,890.0","82.12K","-0.96%"
