"Date","Price","Open","High","Low","Vol.","Change %"
"02/07/2023","39,700.0","37,200.0","39,700.0","37,200.0","11.20K","1.79%"
"02/06/2023","39,000.0","39,000.0","39,000.0","38,550.0","10.46K","0.00%"
"02/03/2023","39,000.0","39,100.0","39,200.0","39,000.0","6.34K","-2.26%"
"02/02/2023","39,900.0","40,000.0","40,000.0","39,900.0","7.46K","-2.68%"
"02/01/2023","41,000.0","41,000.0","41,000.0","41,000.0","5.64K","0.24%"
"01/31/2023","40,900.0","39,000.0","40,900.0","38,900.0","51.44K","4.82%"
"01/30/2023","39,020.0","39,300.0","39,300.0","39,020.0","5.45K","-2.08%"
"01/27/2023","39,850.0","39,900.0","39,900.0","39,850.0","5.94K","-0.13%"
"01/26/2023","39,900.0","39,220.0","39,900.0","39,210.0","13.23K","-0.25%"
"01/25/2023","40,000.0","39,210.0","40,000.0","39,210.0","9.20K","0.00%"
"01/24/2023","40,000.0","39,500.0","40,000.0","39,500.0","15.97K","-0.70%"
"01/23/2023","40,280.0","40,280.0","40,280.0","40,280.0","1.22K","0.00%"
"01/20/2023","40,280.0","40,220.0","40,500.0","40,220.0","1.67K","-1.27%"
"01/19/2023","40,800.0","40,870.0","40,870.0","40,300.0","9.60K","-0.17%"
"01/18/2023","40,870.0","40,710.0","41,000.0","40,710.0","6.48K","-0.02%"
"01/17/2023","40,880.0","39,970.0","41,390.0","39,970.0","19.48K","-2.55%"
"01/16/2023","41,950.0","41,950.0","41,950.0","41,950.0","3.81K","0.65%"
"01/13/2023","41,680.0","41,680.0","41,680.0","41,680.0","3.07K","0.68%"
"01/12/2023","41,400.0","39,900.0","41,700.0","39,900.0","13.53K","2.22%"
"01/11/2023","40,500.0","40,510.0","40,510.0","40,500.0","12.49K","0.00%"
"01/10/2023","40,500.0","40,500.0","40,600.0","40,500.0","9.62K","-3.11%"
"01/06/2023","41,800.0","40,200.0","41,800.0","40,200.0","7.29K","3.16%"
"01/05/2023","40,520.0","40,520.0","40,520.0","40,520.0","11.40K","0.15%"
"01/04/2023","40,460.0","40,200.0","42,450.0","40,200.0","1.80K","-5.47%"
"01/03/2023","42,800.0","40,030.0","42,800.0","40,000.0","3.51K","0.47%"
"01/02/2023","42,600.0","42,600.0","42,600.0","42,600.0","0.71K","1.43%"
"12/29/2022","42,000.0","42,700.0","42,700.0","41,120.0","34.32K","-1.87%"
"12/28/2022","42,800.0","39,500.0","42,800.0","39,500.0","13.04K","6.47%"
"12/27/2022","40,200.0","40,000.0","40,200.0","40,000.0","4.25K","0.50%"
"12/26/2022","40,000.0","40,000.0","40,000.0","39,020.0","4.46K","-0.50%"
"12/23/2022","40,200.0","40,190.0","40,200.0","40,190.0","2.74K","0.02%"
"12/22/2022","40,190.0","38,620.0","40,190.0","38,500.0","9.58K","1.90%"
"12/21/2022","39,440.0","37,750.0","39,440.0","37,750.0","37.35K","1.15%"
"12/20/2022","38,990.0","38,600.0","38,990.0","38,600.0","104.28K","-0.03%"
"12/19/2022","39,000.0","37,500.0","39,000.0","37,500.0","11.48K","4.00%"
"12/16/2022","37,500.0","38,500.0","38,500.0","37,500.0","277.16K","-3.85%"
"12/15/2022","39,000.0","39,990.0","40,000.0","39,000.0","11.63K","-1.22%"
"12/14/2022","39,480.0","40,700.0","40,700.0","39,480.0","49.73K","-3.24%"
"12/13/2022","40,800.0","40,800.0","40,800.0","40,800.0","0.41K","-0.46%"
"12/12/2022","40,990.0","41,000.0","41,000.0","40,980.0","15.64K","-0.02%"
"12/09/2022","41,000.0","40,780.0","41,000.0","40,200.0","7.69K","0.54%"
"12/07/2022","40,780.0","40,000.0","40,780.0","40,000.0","7.18K","0.00%"
